Date,Stock1,Stock2,Stock3,Bond1,Bond2,CreditDefaultSwap1,CreditDefaultSwap2,MarketIndex
01-01-2023,100,50,80,120,90,0.005,0.003,1000
01-02-2023,105,52,78,118,92,0.006,0.004,1020
01-03-2023,98,48,85,125,88,0.004,0.002,990
01-04-2023,102,55,82,122,91,0.007,0.005,1015
01-05-2023,97,51,79,119,89,0.005,0.003,995
01-06-2023,110,60,75,115,95,0.008,0.006,1035
01-07-2023,115,65,72,112,98,0.01,0.007,1050
01-08-2023,112,62,74,114,96,0.009,0.006,1042
01-09-2023,108,58,77,121,93,0.006,0.004,1012
01-10-2023,103,54,81,123,90,0.007,0.005,1008
01-11-2023,106,57,76,116,94,0.008,0.007,1025
01-12-2023,100,50,80,120,90,0.005,0.003,1000
01-01-2024,104,53,78,117,92,0.006,0.004,1018
01-02-2024,99,49,84,126,88,0.004,0.002,995
01-03-2024,101,56,81,123,91,0.007,0.005,1005
01-04-2024,96,52,78,120,89,0.005,0.003,990
01-05-2024,108,59,76,115,95,0.008,0.006,1030
01-06-2024,114,64,73,113,98,0.01,0.007,1060
01-07-2024,111,61,75,114,96,0.009,0.006,1045
01-08-2024,107,57,78,121,93,0.006,0.004,1015
01-09-2024,102,53,82,122,90,0.007,0.005,1000
01-10-2024,105,56,77,117,94,0.008,0.007,1020
01-11-2024,99,51,79,118,89,0.005,0.003,1005
01-12-2024,103,54,80,120,91,0.006,0.004,1012
01-01-2025,107,58,75,116,95,0.008,0.006,1035
01-02-2025,112,63,72,113,98,0.01,0.007,1055
01-03-2025,110,60,74,115,96,0.009,0.006,1042
01-04-2025,106,56,77,120,93,0.006,0.004,1025
01-05-2025,101,52,80,122,90,0.007,0.005,1008
01-06-2025,104,55,75,117,94,0.008,0.007,1030
01-07-2025,98,50,78,118,89,0.005,0.003,1000
01-08-2025,102,53,82,121,91,0.006,0.004,1015
01-09-2025,107,57,76,116,95,0.008,0.006,1032
01-10-2025,110,60,73,114,98,0.01,0.007,1050
01-11-2025,115,65,71,112,97,0.009,0.006,1065
01-12-2025,112,62,74,115,96,0.008,0.007,1048
01-01-2026,108,58,77,120,93,0.006,0.004,1025
01-02-2026,104,54,81,122,90,0.007,0.005,1012
01-03-2026,101,51,79,119,88,0.005,0.003,995
01-04-2026,105,55,76,116,92,0.006,0.004,1010
01-05-2026,110,60,74,114,95,0.008,0.006,1030
01-06-2026,112,62,72,113,97,0.01,0.007,1045
01-07-2026,108,58,75,115,94,0.009,0.006,1020
01-08-2026,106,56,78,120,91,0.006,0.004,1005
01-09-2026,103,53,80,121,89,0.007,0.005,1008
01-10-2026,100,50,82,123,87,0.008,0.007,1020
01-11-2026,99,49,84,126,88,0.009,0.006,1040
01-12-2026,101,51,79,119,90,0.01,0.007,1050
01-01-2027,105,55,76,116,92,0.011,0.008,1070
01-02-2027,110,60,73,114,95,0.012,0.009,1085
01-03-2027,112,62,72,113,97,0.013,0.01,1095
01-04-2027,108,58,75,115,94,0.014,0.011,1100
01-05-2027,106,56,78,120,91,0.015,0.012,1110
01-06-2027,103,53,80,121,89,0.016,0.013,1120
01-07-2027,100,50,82,123,87,0.017,0.014,1130
01-08-2027,99,49,84,126,88,0.018,0.015,1140
01-09-2027,101,51,79,119,90,0.019,0.016,1150
01-10-2027,105,55,76,116,92,0.02,0.017,1160
01-11-2027,110,60,73,114,95,0.021,0.018,1170
01-12-2027,112,62,72,113,97,0.022,0.019,1180
01-01-2028,108,58,75,115,94,0.023,0.02,1190
01-02-2028,106,56,78,120,91,0.024,0.021,1200
01-03-2028,103,53,80,121,89,0.025,0.022,1210
01-04-2028,100,50,82,123,87,0.026,0.023,1220
01-05-2028,99,49,84,126,88,0.027,0.024,1230
01-06-2028,101,51,79,119,90,0.028,0.025,1240
01-07-2028,105,55,76,116,92,0.029,0.026,1250
01-08-2028,110,60,73,114,95,0.03,0.027,1260
01-09-2028,112,62,72,113,97,0.031,0.028,1270
01-10-2028,108,58,75,115,94,0.032,0.029,1280
01-11-2028,106,56,78,120,91,0.033,0.03,1290
01-12-2028,103,53,80,121,89,0.034,0.031,1300
01-01-2029,105,55,76,116,92,0.035,0.032,1310
01-02-2029,110,60,73,114,95,0.036,0.033,1320
01-03-2029,112,62,72,113,97,0.037,0.034,1330
01-04-2029,108,58,75,115,94,0.038,0.035,1340
01-05-2029,106,56,78,120,91,0.039,0.036,1350
01-06-2029,103,53,80,121,89,0.04,0.037,1360
01-07-2029,100,50,82,123,87,0.041,0.038,1370
01-08-2029,99,49,84,126,88,0.042,0.039,1380
01-09-2029,101,51,79,119,90,0.043,0.04,1390
01-10-2029,105,55,76,116,92,0.044,0.041,1400
01-11-2029,110,60,73,114,95,0.045,0.042,1410
01-12-2029,112,62,72,113,97,0.046,0.043,1420
01-01-2030,108,58,75,115,94,0.047,0.044,1430
01-02-2030,106,56,78,120,91,0.048,0.045,1440
01-03-2030,103,53,80,121,89,0.049,0.046,1450
01-04-2030,100,50,82,123,87,0.05,0.047,1460
01-05-2030,99,49,84,126,88,0.051,0.048,1470
01-06-2030,101,51,79,119,90,0.052,0.049,1480
01-07-2030,105,55,76,116,92,0.053,0.05,1490
01-08-2030,110,60,73,114,95,0.054,0.051,1500
01-09-2030,112,62,72,113,97,0.055,0.052,1510
01-10-2030,108,58,75,115,94,0.056,0.053,1520
01-11-2030,106,56,78,120,91,0.057,0.054,1530
01-12-2030,103,53,80,121,89,0.058,0.055,1540
01-01-2031,100,50,82,123,87,0.059,0.056,1550
01-02-2031,99,49,84,126,88,0.06,0.057,1560
01-03-2031,101,51,79,119,90,0.061,0.058,1570
01-04-2031,105,55,76,116,92,0.062,0.059,1580
